起点ID,起点类型,关系名称,终点ID,终点类型,示例
9ba233b38b201149,名句实体,名句归属于,3cdf14dcee4c,诗文实体,为天地立心，为生民立命，为往圣... → 归属于 → 北宋·张载《横渠四句》
0193838a43bd1436,名句实体,名句归属于,2a844a2e6460,诗文实体,人生天地间，忽如远行客。... → 归属于 → 佚名《青青陵上柏》
970ddd55e386c718,名句实体,名句归属于,225cb1230cb7,诗文实体,夜月一帘幽梦，春风十里柔情。... → 归属于 → 秦观《八六子·倚危亭》
6a969afe0210d690,名句实体,名句归属于,2f3e1e0a34bb,诗文实体,知我者，谓我心忧；不知我者，谓... → 归属于 → 佚名《黍离》
9c6f80a1fcc5c4b4,名句实体,名句归属于,fe34d4125f89,诗文实体,渐行渐远渐无书，水阔鱼沉何处问... → 归属于 → 欧阳修《玉楼春·别后不知君远近》
535651a3862c0bb4,名句实体,名句归属于,51c560529d2a,诗文实体,纸上得来终觉浅，绝知此事要躬行... → 归属于 → 陆游《冬夜读书示子聿》
bf3a90d7cc9fa5d1,名句实体,名句归属于,f9a34574e44a,诗文实体,被酒莫惊春睡重，赌书消得泼茶香... → 归属于 → 纳兰性德《浣溪沙·谁念西风独自凉》
a44fcb13259e1e17,名句实体,名句归属于,9fedd9d41999,诗文实体,年年岁岁花相似，岁岁年年人不同... → 归属于 → 刘希夷《代悲白头翁 / 白头吟 / 有所思》
aa3c1097a7a60cfe,名句实体,名句归属于,39ad02580f79,诗文实体,一声梧叶一声秋，一点芭蕉一点愁... → 归属于 → 徐再思《水仙子·夜雨》
85382ddcd24cdf56,名句实体,名句归属于,731e2a19594e,诗文实体,抽刀断水水更流，举杯消愁愁更愁... → 归属于 → 李白《宣州谢脁楼饯别校书叔云 / 陪侍御叔华登楼歌》
759d573d92d3cfb7,名句实体,名句归属于,b7f6fef5bb0b,诗文实体,花自飘零水自流。一种相思，两处... → 归属于 → 李清照《一剪梅·红藕香残玉簟秋》
01eeab2ce43ee7d8,名句实体,名句归属于,44c7047fdd94,诗文实体,须知少日拏云志，曾许人间第一流... → 归属于 → 吴庆坻《题三十计小象》
6c3a847f144b1c6c,名句实体,名句归属于,7ae587439291,诗文实体,夫天地者万物之逆旅也；光阴者百... → 归属于 → 李白《春夜宴桃李园序 / 春夜宴从弟桃花园序》
879121bca625e59d,名句实体,名句归属于,65bc4719e0b1,诗文实体,溪云初起日沉阁，山雨欲来风满楼... → 归属于 → 许浑《咸阳城东楼 / 咸阳城西楼晚眺 / 西门》
43d801c7495ab330,名句实体,名句归属于,e1c6346d4d88,诗文实体,我有一瓢酒，可以慰风尘。... → 归属于 → 韦应物《简卢陟》
b65709b686b4f968,名句实体,名句归属于,2ee36eb2ccf7,诗文实体,少年不识愁滋味，爱上层楼。爱上... → 归属于 → 辛弃疾《丑奴儿·书博山道中壁》
05f833cc5208007b,名句实体,名句归属于,bd4224133394,诗文实体,取次花丛懒回顾，半缘修道半缘君... → 归属于 → 元稹《离思五首·其四》
9e20da5234b8260b,名句实体,名句归属于,32bfa9757c62,诗文实体,待到秋来九月八，我花开后百花杀... → 归属于 → 黄巢《不第后赋菊》
a7c41b9998e20bfc,名句实体,名句归属于,d99474e71e35,诗文实体,不经一番寒彻骨，怎得梅花扑鼻香... → 归属于 → 黄蘖禅师《上堂开示颂》
326e1f26d9b66aeb,名句实体,名句归属于,902b7c60788a,诗文实体,昨夜西风凋碧树，独上高楼，望尽... → 归属于 → 晏殊《蝶恋花·槛菊愁烟兰泣露》
9b7636eaced2b5e6,名句实体,名句归属于,36bd11e782a7,诗文实体,人生只似风前絮，欢也零星，悲也... → 归属于 → 王国维《采桑子·高城鼓动兰釭灺》
557c3b08023dd1aa,名句实体,名句归属于,32d2e7ebc423,诗文实体,南风知我意，吹梦到西洲。... → 归属于 → 佚名《西洲曲》
4c4b669d556b8176,名句实体,名句归属于,5ac613721d19,诗文实体,世事漫随流水，算来一梦浮生。... → 归属于 → 李煜《乌夜啼·昨夜风兼雨》
12acb5a769cd0087,名句实体,名句归属于,4dd3bba27491,诗文实体,殷勤昨夜三更雨，又得浮生一日凉... → 归属于 → 苏轼《鹧鸪天·林断山明竹隐墙》
3161765837cef03e,名句实体,名句归属于,1b22f2e35e37,诗文实体,人似秋鸿来有信，事如春梦了无痕... → 归属于 → 苏轼《正月二十日与潘郭二生出郊寻春忽记去年是日同至女王城作诗乃和前韵》
798611e2d6ed02cd,名句实体,名句归属于,6c1ea9b7dd44,诗文实体,山不在高，有仙则名。水不在深，... → 归属于 → 刘禹锡《陋室铭》
2dc00f345a3fdf1e,名句实体,名句归属于,3264b4f8f750,诗文实体,衣带渐宽终不悔，为伊消得人憔悴... → 归属于 → 柳永《蝶恋花·伫倚危楼风细细》
1a62acee5c52680b,名句实体,名句归属于,2e5c862589b9,诗文实体,一点浩然气，千里快哉风。... → 归属于 → 苏轼《水调歌头·黄州快哉亭赠张偓佺》
f2f04eb529f61694,名句实体,名句归属于,8cc45971b842,诗文实体,时光只解催人老，不信多情，长恨... → 归属于 → 晏殊《采桑子·时光只解催人老》
3eb65fc2826ebbf3,名句实体,名句归属于,f4508d4403b7,诗文实体,逢人不说人间事，便是人间无事人... → 归属于 → 杜荀鹤《赠质上人》
e6087d78e33474cb,名句实体,名句归属于,71a85f935e90,诗文实体,怕相思，已相思，轮到相思没处辞... → 归属于 → 俞彦《长相思·折花枝》
93fe59d0b0099365,名句实体,名句归属于,a416ac373919,诗文实体,愿得一心人，白头不相离。... → 归属于 → 卓文君《白头吟》
62c5fcf9480543f8,名句实体,名句归属于,f08f2f570c7d,诗文实体,此心安处是吾乡。... → 归属于 → 苏轼《定风波·南海归赠王定国侍人寓娘》
097a81d073121c89,名句实体,名句归属于,68b2bf1dbf8b,诗文实体,世事短如春梦，人情薄似秋云。... → 归属于 → 朱敦儒《西江月·世事短如春梦》
a1312e634c53ffeb,名句实体,名句归属于,13f153478a2a,诗文实体,一日不见兮，思之如狂。... → 归属于 → 司马相如《凤求凰 / 琴歌》
15a06a96ba222c59,名句实体,名句归属于,8a860f142c0a,诗文实体,问世间，情是何物，直教生死相许... → 归属于 → 元好问《摸鱼儿·雁丘词 / 迈陂塘》
64df3576198104a8,名句实体,名句归属于,f20c6e290a03,诗文实体,沾衣欲湿杏花雨，吹面不寒杨柳风... → 归属于 → 志南《绝句》
c9d927ad81569934,名句实体,名句归属于,16e9c75bf6d1,诗文实体,男儿何不带吴钩，收取关山五十州... → 归属于 → 李贺《南园十三首·其五》
b7cc6b9f01b5cfc0,名句实体,名句归属于,1d9be160cf6d,诗文实体,我欲穿花寻路，直入白云深处，浩... → 归属于 → 黄庭坚《水调歌头·游览》
defceda257c248bc,名句实体,名句归属于,cad3c6bebe91,诗文实体,直道相思了无益，未妨惆怅是清狂... → 归属于 → 李商隐《无题·重帏深下莫愁堂》
ec94b7a76ead19f3,名句实体,名句归属于,139c20ac3fb8,诗文实体,相恨不如潮有信，相思始觉海非深... → 归属于 → 白居易《浪淘沙·借问江潮与海水》
2b0e54b7d5f0131e,名句实体,名句归属于,ad6df2bf88a9,诗文实体,落花人独立，微雨燕双飞。... → 归属于 → 翁宏《春残》
b2c2170b9d5bb3a8,名句实体,名句归属于,d02a847e3a85,诗文实体,位卑未敢忘忧国，事定犹须待阖棺... → 归属于 → 陆游《病起书怀》
cfaf0f2dc1a1f708,名句实体,名句归属于,05c6c4ccf634,诗文实体,昨夜星辰昨夜风，画楼西畔桂堂东... → 归属于 → 李商隐《无题·昨夜星辰昨夜风》
7a8b93e7fae72ece,名句实体,名句归属于,cd236de1e210,诗文实体,物是人非事事休，欲语泪先流。... → 归属于 → 李清照《武陵春·春晚》
72520b1d5dc40ed9,名句实体,名句归属于,731e2a19594e,诗文实体,弃我去者，昨日之日不可留；乱我... → 归属于 → 李白《宣州谢脁楼饯别校书叔云》
