起点ID,起点类型,关系名称,终点ID,终点类型,示例
3264b4f8f750,诗文实体,属于形式,c809738f22126c36,形式实体,蝶恋花·伫倚危楼风细细 → 属于形式 → 词
2e5c862589b9,诗文实体,属于形式,c809738f22126c36,形式实体,水调歌头·黄州快哉亭赠张偓佺 → 属于形式 → 词
8cc45971b842,诗文实体,属于形式,c809738f22126c36,形式实体,采桑子·时光只解催人老 → 属于形式 → 词
f4508d4403b7,诗文实体,属于形式,be6715edcbe7db8f,形式实体,赠质上人 → 属于形式 → 诗
71a85f935e90,诗文实体,属于形式,c809738f22126c36,形式实体,长相思·折花枝 → 属于形式 → 词
a416ac373919,诗文实体,属于形式,be6715edcbe7db8f,形式实体,白头吟 → 属于形式 → 诗
f08f2f570c7d,诗文实体,属于形式,c809738f22126c36,形式实体,定风波·南海归赠王定国侍人寓娘 → 属于形式 → 词
68b2bf1dbf8b,诗文实体,属于形式,c809738f22126c36,形式实体,西江月·世事短如春梦 → 属于形式 → 词
8a860f142c0a,诗文实体,属于形式,c809738f22126c36,形式实体,摸鱼儿·雁丘词 → 属于形式 → 词
f20c6e290a03,诗文实体,属于形式,be6715edcbe7db8f,形式实体,绝句 → 属于形式 → 诗
16e9c75bf6d1,诗文实体,属于形式,be6715edcbe7db8f,形式实体,南园十三首·其五 → 属于形式 → 诗
1d9be160cf6d,诗文实体,属于形式,c809738f22126c36,形式实体,水调歌头·游览 → 属于形式 → 词
cad3c6bebe91,诗文实体,属于形式,be6715edcbe7db8f,形式实体,无题·重帏深下莫愁堂 → 属于形式 → 诗
139c20ac3fb8,诗文实体,属于形式,c809738f22126c36,形式实体,浪淘沙·借问江潮与海水 → 属于形式 → 词
ad6df2bf88a9,诗文实体,属于形式,be6715edcbe7db8f,形式实体,春残 → 属于形式 → 诗
d02a847e3a85,诗文实体,属于形式,be6715edcbe7db8f,形式实体,病起书怀 → 属于形式 → 诗
cd236de1e210,诗文实体,属于形式,c809738f22126c36,形式实体,武陵春·春晚 → 属于形式 → 词
444df93c9bdf,诗文实体,属于形式,be6715edcbe7db8f,形式实体,白雪歌送武判官归京 → 属于形式 → 诗
d50eb19399e6,诗文实体,属于形式,be6715edcbe7db8f,形式实体,渡荆门送别 → 属于形式 → 诗
12a2295aa76b,诗文实体,属于形式,be6715edcbe7db8f,形式实体,送元二使安西 → 属于形式 → 诗
f433a64dd504,诗文实体,属于形式,be6715edcbe7db8f,形式实体,芙蓉楼送辛渐 → 属于形式 → 诗
b7820a12ebaa,诗文实体,属于形式,be6715edcbe7db8f,形式实体,赋得古原草送别 → 属于形式 → 诗
ee1bd6238d4a,诗文实体,属于形式,c809738f22126c36,形式实体,卜算子·送鲍浩然之浙东 → 属于形式 → 词
4b3ccba01be6,诗文实体,属于形式,be6715edcbe7db8f,形式实体,别董大 → 属于形式 → 诗
a70899a5c2a2,诗文实体,属于形式,c809738f22126c36,形式实体,鹧鸪天·送人 → 属于形式 → 词
2a8ac16f6025,诗文实体,属于形式,c809738f22126c36,形式实体,鹧鸪天·送廓之秋试 → 属于形式 → 词
6368d3d62fcd,诗文实体,属于形式,be6715edcbe7db8f,形式实体,送别 → 属于形式 → 诗
ad4d98d510ea,诗文实体,属于形式,be6715edcbe7db8f,形式实体,走马川行奉送封大夫出师西征 → 属于形式 → 诗
fefa0c7ac1f7,诗文实体,属于形式,c809738f22126c36,形式实体,贺新郎·别茂嘉十二弟 → 属于形式 → 词
214bea9d63ff,诗文实体,属于形式,be6715edcbe7db8f,形式实体,送灵澈上人 → 属于形式 → 诗
dc090c40cab3,诗文实体,属于形式,be6715edcbe7db8f,形式实体,送别 → 属于形式 → 诗
f2da3d53a0ea,诗文实体,属于形式,c809738f22126c36,形式实体,长相思·吴山青 → 属于形式 → 词
543166678e8b,诗文实体,属于形式,be6715edcbe7db8f,形式实体,于易水送人 → 属于形式 → 诗
8d6d2b44ac80,诗文实体,属于形式,be6715edcbe7db8f,形式实体,谢亭送别 → 属于形式 → 诗
6a23fa2dab40,诗文实体,属于形式,be6715edcbe7db8f,形式实体,劝学 → 属于形式 → 诗
85ebee46dc2c,诗文实体,属于形式,be6715edcbe7db8f,形式实体,劝学诗 → 属于形式 → 诗
a23349cddf1e,诗文实体,属于形式,be6715edcbe7db8f,形式实体,劝学诗 → 属于形式 → 诗
42a35d95ff08,诗文实体,属于形式,be6715edcbe7db8f,形式实体,劝学 → 属于形式 → 诗
0564d7f8b06b,诗文实体,属于形式,be6715edcbe7db8f,形式实体,白鹿洞二首·其一 → 属于形式 → 诗
b24ec2f5cfac,诗文实体,属于形式,be6715edcbe7db8f,形式实体,读书有所见作 → 属于形式 → 诗
c8a11b0e11f1,诗文实体,属于形式,be6715edcbe7db8f,形式实体,柏学士茅屋 → 属于形式 → 诗
4a9040b9dca4,诗文实体,属于形式,be6715edcbe7db8f,形式实体,责子 → 属于形式 → 诗
